domain,cohort,trend_cycle_months,platform_dependency,identity_attachment,identity_type,attention_shift_rate,peer_influence_score,source_1,source_1_url,source_2,source_2_url,reasoning
Social Media,Gen Z,2.2,5.5,6.0,achieved,6.7,8.2,"The List / InVideo 2022 — TikTok trends last ~1 week or less","https://www.thelist.com/800454/how-long-does-an-average-tiktok-trend-last/","Pew Research 2023 — Facebook dropped 71% to 32% in a decade yet teen engagement held","https://www.pewresearch.org/internet/2023/12/11/teens-social-media-and-technology-2023/","Single trend ~3 weeks avg. Domain cycle = 3 trends = 2.2 months. Platform dependency medium — domain survived 50% collapse of Facebook. Identity = expression vehicle not core self (swordsman analogy). Attention shift from S&P Kagan: 4.5 to 5.1 hrs in 2 yrs = 13.3% over 2 yrs = 6.7% yearly. Peer influence high — feedback loop: peer pressure drives use AND use generates peer pressure."
Social Media,Gen Alpha,1.8,4.8,7.2,aspirational,8.5,9.4,"Common Sense Media 2023 — Gen Alpha more algorithm-fed less platform-loyal","https://www.commonsensemedia.org/research/the-common-sense-census-media-use-by-tweens-and-teens-2023","Ofcom Children & Media 2023 — younger cohorts show faster platform switching","https://www.ofcom.org.uk/research-and-data/telecoms-research/data-communications/children-and-parents-media-use-and-attitudes","Faster than Gen Z — more algorithm-dependent less self-directed. Platform dependency slightly lower — grew up across YouTube + Roblox + TikTok simultaneously no single loyalty. Identity higher — primary expression vehicle is digital. Performance creates the self (aspirational). Peer influence highest of all domains for Alpha."
Music,Gen Z,1.2,4.5,5.5,aspirational,2.0,6.5,"TikTok Billboard Top 50 2023 — most songs cycle within weeks longest run was 10 weeks","https://www.billboard.com/charts/tiktok-billboard-top-50/","Nielsen Music 360 2023 — 84% of Billboard Global 200 songs went viral on TikTok first","https://www.nielsen.com/insights/2023/music-360-2023-highlights/","Individual song lifespan 3-4 weeks = 1.0 months. Domain cycle slightly longer = 1.2 months. Platform dependency medium — music not tied to one platform but discovery flows through social media. Identity = mood/phase based not core self. Gen Z uses music to connect with peer groups. Attention stable — domain evergreen everyone listens. Peer influence medium — discovery is social but final taste is personal."
Music,Gen Alpha,1.0,4.0,4.5,aspirational,2.5,4.5,"Spotify Wrapped 2023 — Gen Alpha listening patterns more algorithm-curated less peer-shared","https://newsroom.spotify.com/2023-11-29/spotify-wrapped-2023/","YouTube Music trends 2023 — shorter attention spans driving faster track cycling","https://music.youtube.com/","Faster cycle than Gen Z — more algorithm-driven discovery. Lower platform dependency — even more distributed across platforms. Lower identity attachment — music is more solitary/personal for Alpha (iPad kid with earbuds). Peer influence significantly lower — Alpha discovers music alone not through peer group sharing."
Fashion,Gen Z,2.5,6.5,7.0,aspirational,5.5,8.5,"Edited.com 2023 — microtrends last approximately 1 month before decline","https://edited.com/resources/gen-z-fashion-trends/","McKinsey State of Fashion 2024 — TikTok compressed trend cycle from months to weeks","https://www.mckinsey.com/industries/retail/our-insights/state-of-fashion","Microtrends ~1 month but economic friction adds buffer — you can change TikTok feed in seconds not wardrobe. Slightly longer cycle than Social Media because cost slows adoption. Platform dependency high — heavily TikTok/Instagram driven. Identity high — clothing reflects personality for Gen Z (expression not just function). Aspirational — copying influencer aesthetics. Attention growing — Shein/Temu removing cost barrier accelerating participation."
Fashion,Gen Alpha,1.8,7.2,5.5,aspirational,7.0,8.0,"Roblox Fashion Report 2023 — digital fashion identity forming before physical","https://newsroom.roblox.com/en-us/2023/","YPulse Style Survey 2023 — Gen Alpha prioritises comfort over expression","https://www.ypulse.com/article/2023/06/12/gen-z-vs-gen-alpha-style/","Faster than Gen Z — Shein/Temu remove cost barrier completely. Higher platform dependency — even more social-media-native. Lower identity attachment — comfort over expression. Still aspirational but less intensely than Gen Z. Higher attention shift — more platform-exposed from younger age."
Gaming,Gen Z,8.0,6.0,8.5,achieved,3.5,7.5,"Deloitte Digital Media Trends 2024 — 90% of Gen Z identify as gamers","https://www.deloitte.com/us/en/insights/industry/technology/digital-media-trends-consumption-habits-survey.html","Newzoo Global Gamer Study 2023 — 9 in 10 Gen Z engaged with gaming in past 6 months","https://newzoo.com/resources/blog/newzoos-global-gamer-study-2023","Gaming evolves not replaces — old masterpieces persist alongside new titles. Trend cycle measures new title adoption not domain abandonment. Platform dependency medium — experience-tied but inter-platform competition prevents monopoly. Identity highest of all domains — 90% identify as gamers (Deloitte). Achieved through actual hours played skill building community. Attention steadily growing not spiking. Peer influence high — play what friends play but personal preference wins at end."
Gaming,Gen Alpha,6.0,5.5,8.0,aspirational,4.0,8.0,"Roblox Annual Report 2023 — 85.3M daily active users majority Gen Alpha","https://ir.roblox.com/news-releases/news-release-details/roblox-reports-fourth-quarter-and-full-year-2023-results/","Newzoo Global Gamer Study 2023 — Gen Alpha engagement patterns vs Gen Z","https://newzoo.com/resources/blog/newzoos-global-gamer-study-2023","Faster cycle — more mobile/Roblox driven shorter session games. Identity slightly lower than Gen Z — still forming. Identity type: starts aspirational becomes achieved through play (unique conversion domain). Attention growing — 9 in 10 engaged. Peer influence slightly higher — more multiplayer-native."
Mental Health,Gen Z,18.0,3.5,9.0,achieved,11.0,5.5,"Annie E. Casey Foundation 2023 — 65% of Gen Z reported at least one mental health problem in past 2 years","https://www.aecf.org/blog/generation-z-and-mental-health","Harmony Healthcare IT 2025 — 42% of Gen Z currently in therapy a 22% increase since 2022","https://www.harmonyhealthcareit.com/blog/mental-health-statistics/","Domain evergreen — nobody abandons mental health concern. Language cycles fast (burnout → therapy speak → nonchalant aura) but domain itself has 18 month+ cycle. Low platform dependency — concern exists independently. Highest identity attachment — 65% lived experience not trend. Achieved through real struggle. Attention growing fast — 22% therapy increase in 2 years = ~11% yearly. Peer influence medium — normalisation helps but personal need drives primarily."
Mental Health,Gen Alpha,14.0,4.5,8.5,aspirational,13.0,6.0,"UNICEF State of World Children 2023 — mental health awareness rising among younger cohorts","https://www.unicef.org/reports/state-worlds-children-2023","CDC Youth Risk Behavior Survey 2023 — persistent sadness rates rising across age groups","https://www.cdc.gov/healthyyouth/data/yrbs/results.htm","Slightly faster cycle — mental health as aesthetic trend (nonchalant aura) more pronounced in Alpha. Slightly higher platform dependency — more content-influenced. High identity but absorbing aesthetic language not yet fully lived. Aspirational → achieved transition in progress. Attention growing faster than Gen Z — rising awareness. Peer normalisation slightly higher."
Finance,Gen Z,14.0,5.0,7.5,achieved,8.5,6.5,"CFA Institute & FINRA 2023 — 82% of Gen Z investors began investing before age 21","https://rpc.cfainstitute.org/research/reports/2023/gen-z-investing","YouGov 2025 — 42% of Gen Z aged 18-27 own cryptocurrency","https://business.yougov.com/content/48702-gen-z-investing-crypto","Slow domain overall — normal curve anchors conservative majority. Gen Z crypto/startup cycles ~14 months. 41% driven by FOMO (CFA/FINRA) but 50% admit FOMO-driven investment — peer influence real but filtered through personal decision. Identity high — entering adulthood finance is urgent and personal. Achieved — actually investing earning losing. Attention rapidly growing — new platforms crypto startups."
Finance,Gen Alpha,22.0,3.5,4.5,aspirational,3.5,4.0,"T. Rowe Price Parents & Money Survey 2023 — Gen Alpha financial awareness limited","https://www.troweprice.com/personal-investing/resources/insights/parents-kids-and-money-survey.html","Greenlight Financial Report 2023 — pocket money and basic concepts primary finance exposure","https://greenlight.com/blog/","Much longer cycle — barely engaged with real finance. Lower platform dependency — not yet using investing apps meaningfully. Low identity attachment — finance abstract not urgent. Aspirational — watching Gen Z talk crypto not experiencing financial pressure. Attention barely shifting. Peer influence low — friends not discussing finance seriously."
Food & Drink,Gen Z,3.5,6.5,6.0,achieved,5.5,7.5,"Food & Beverage Magazine 2024 — viral food trends move from TikTok to mainstream in weeks","https://www.fb101.com/why-84-of-gen-z-are-trying-social-media-food-trends/","Attest Gen Z Food Trends 2023 — over 70% of Gen Z find food content on social media","https://www.askattest.com/blog/research/gen-z-food-trends","Weeks to mainstream confirmed but necessity anchors domain — specific food trends fast eating habits slow. Discovery highly platform-dependent (70% via social) but consumption happens in real life. Identity medium — food as happiness/culture/reward for Gen Z (result of hard struggle). Achieved through real dining experiences. Attention growing — delivery apps expand access. Peer influence high — eating is fundamentally social."
Food & Drink,Gen Alpha,2.8,7.0,7.0,aspirational,6.5,7.8,"Mintel Children Food & Drink 2023 — Gen Alpha food choices increasingly ideology-driven","https://www.mintel.com/food-and-drink-market-research/","NPD Group Kids Eating Trends 2023 — aesthetic food content rising among younger cohorts","https://www.npd.com/news/press-releases/2023/","Faster trend cycle — more aesthetically driven discovery. Higher platform dependency — even more social-media-native food discovery. Higher identity attachment — food as ideology/aesthetic identity (vegan foodie etc). Aspirational — adopting food identity before deep conviction. Attention growing faster — more platform-exposed."
Sports & Fitness,Gen Z,5.5,7.0,7.5,aspirational,9.0,7.8,"ABC Fitness Wellness Watch 2024 — 73% of Gen Z have gym membership 54% of all new memberships are Gen Z","https://www.globenewswire.com/news-release/2024/09/18/2948247/","Les Mills Global Report 2023 — boutique fitness studio visits grew 121% over 5 years","https://www.lesmills.com/us/clubs-and-facilities/research-insights/fitness-trends/","Fitness trends fast (HIIT→pilates→strength) but traditional sport loyalties slow. Average ~5.5 months. Platform dependency high — 60% buy fitness products seen on social media. Identity high — 73% gym membership = identity level commitment. Aspirational → achieved transition — Gen Z has shortest club tenure (trying to make it stick). Attention fastest growing domain = 121% boutique growth over 5 years = ~17% yearly. Social exercise culture strong — gyms as community not just workout."
Sports & Fitness,Gen Alpha,4.5,7.5,6.5,aspirational,7.5,7.5,"Aspen Institute State of Play 2023 — youth sports participation trends by generation","https://www.aspenprojectplay.org/state-of-play/2023","Sports & Fitness Industry Association 2023 — youth engagement patterns","https://www.sfia.org/reports/","Faster trend cycle — more platform-driven less traditional sport anchoring. Higher platform dependency — FitTok influence even stronger. Identity still forming — younger cohort. Purely aspirational — fitness aesthetic without yet lived commitment. Slightly lower attention shift — not yet independently engaging with fitness."
Career & Education,Gen Z,26.0,4.5,9.2,achieved,7.5,6.8,"Deloitte Gen Z Survey 2023 — 49% say work is central to identity burnout a persistent concern","https://www.deloitte.com/global/en/about/press-room/2023-gen-z-and-millenial-survey.html","Handshake Network Trends 2023 — 9 in 10 Gen Z undergrads say mental health and work-life balance very important","https://joinhandshake.com/blog/network-trends/gen-z-mental-health-at-work/","Career domains evolve not replace — computer to AI architecture still relevant. Long cycles by nature. Platforms crucial for finding/doing career work but career concern itself not platform dependent. Highest identity attachment alongside Mental Health — Gen Z in crucial phase. Achieved — living applications rejections wins. Attention growing — new tech domains emerging fast. Peer influence = social comparison not direct copying — friends doing well creates internal pressure to match."
Career & Education,Gen Alpha,32.0,3.0,6.5,aspirational,4.0,5.0,"OECD Education at a Glance 2023 — generational shifts in career awareness by age","https://www.oecd.org/education/education-at-a-glance/","World Economic Forum Future of Jobs 2023 — emerging domains awareness among youth","https://www.weforum.org/reports/the-future-of-jobs-report-2023/","Longest cycle — still in learning phase career is abstract. Low platform dependency for career itself. Identity moderate — still forming career identity. Aspirational — watching Gen Z navigate real world. Attention barely shifting — not yet urgent. Peer influence low — friends not facing real career decisions yet."
Activism & Politics,Gen Z,6.5,8.0,7.5,achieved,6.0,8.5,"United Way NCA Gen Z Activism Survey 2023 — 51% of Gen Z participated in rallies or protests","https://unitedwaynca.org/blog/gen-z-activism-survey/","Montclair State University 2024 — Gen Z political engagement shows fatigue alongside activism surge","https://www.montclair.edu/college-of-communication-and-media/2024/12/05/negativity-activism-division-and-fatigue-gen-z-social-media-and-the-2024-election/","Individual movements cycle 6-8 months in spotlight but foundation carries forward (movement succession). Social media primary amplifier. Identity high — lived through real movements BLM climate MeToo. Achieved — real participation. Attention shifting due to fatigue — too much to handle alongside career mental health financial pressure. Peer influence highest after Social Media — peer pressure literally drives activist behaviour."
Activism & Politics,Gen Alpha,8.0,8.5,8.2,aspirational,9.0,9.0,"AEI Survey 2024 — 82% of Gen Alpha hope to inspire positive change 77% not afraid to express disagreement","https://www.aei.org/education/gen-alpha-and-the-possibility-of-progress/","Blavity Media 2025 — Gen Alpha political influence growing but ideologically unformed","https://blavityinc.com/gen-z-vs-gen-alpha-media-trends/","Longer individual cycle — less platform-driven outrage more sustained concern. Highest platform dependency — social + traditional + books all amplifiers. High identity — 82% want to inspire change but only 1% identify with political party = identity-driven not ideological. Aspirational — inspired but not yet tested by real movements. Attention rapidly growing — 77% willing to express opinion. Highest peer influence score — peer pressure literally drives it."